ProjectName :CCSES-CT-Universe,,,
,,,
FileType,Total Files Count,Total Lines Count,
307,SE.FLE.txt,5,CCSES-CT-Universe
308,SF.FLE.txt,3,CCSES-CT-Universe
309,SL.FLE.txt,3,CCSES-CT-Universe
310,SN.FLE.txt,4,CCSES-CT-Universe
311,SP.FLE.txt,28,CCSES-CT-Universe
312,SQ.FLE.txt,4,CCSES-CT-Universe
313,SQ.XREF.txt,4,CCSES-CT-Universe
314,SSA.ADDR.TEMP.txt,1,CCSES-CT-Universe
315,ST3000.TEMP.txt,12,CCSES-CT-Universe
316,ST9000.TEMP.txt,14,CCSES-CT-Universe
317,U1.FLE.txt,12,CCSES-CT-Universe
318,U2.FLE.txt,12,CCSES-CT-Universe
319,UA.FLE.txt,40,CCSES-CT-Universe
320,UE.TEMP.txt,1,CCSES-CT-Universe
321,URA.TEMP.txt,4,CCSES-CT-Universe
322,US.FLE.txt,40,CCSES-CT-Universe
323,UT0380.TEMP.txt,12,CCSES-CT-Universe
324,UT2000.TEMP.txt,3,CCSES-CT-Universe
325,UT2100.TEMP.txt,3,CCSES-CT-Universe
326,UT9000.TEMP.txt,3,CCSES-CT-Universe
327,UT9100.TEMP.txt,4,CCSES-CT-Universe
328,UTL010.AD.PRINT.txt,26,CCSES-CT-Universe
329,UTL010.AP.PRINT.txt,262,CCSES-CT-Universe
330,UTL010.CH.PRINT.txt,27,CCSES-CT-Universe
331,UTL010.PH.PRINT.txt,3,CCSES-CT-Universe
332,UTL010.PO.PRINT.txt,109,CCSES-CT-Universe
333,V00385.TEMP.txt,10,CCSES-CT-Universe
334,V03305.TEMP.txt,3,CCSES-CT-Universe
335,V03306.TEMP.txt,3,CCSES-CT-Universe
336,V03850.TEMP.txt,19,CCSES-CT-Universe
337,V03855.TEMP.txt,19,CCSES-CT-Universe
338,V03856.TEMP.txt,10,CCSES-CT-Universe
339,V05000.PASS.txt,3,CCSES-CT-Universe
340,V05010.PASS.txt,3,CCSES-CT-Universe
341,V05020.PASS.txt,3,CCSES-CT-Universe
342,V05030.OTHER.txt,3,CCSES-CT-Universe
343,V05030.PASS.txt,3,CCSES-CT-Universe
344,V05040.PASS.txt,3,CCSES-CT-Universe
345,V05050.PASS.txt,3,CCSES-CT-Universe
346,V05060.PASS.txt,3,CCSES-CT-Universe
347,VF.HDR.txt,8,CCSES-CT-Universe
348,VOC.txt,5,CCSES-CT-Universe
349,VOID.DB.WORK.txt,28,CCSES-CT-Universe
350,VOID.NR.WORK.txt,18,CCSES-CT-Universe
351,VOID.RC.WORK.txt,36,CCSES-CT-Universe
352,VP.TEMP.txt,38,CCSES-CT-Universe
353,VPI.FLE.txt,3,CCSES-CT-Universe
354,VPO.FLE.txt,5,CCSES-CT-Universe
355,W4.FLE.txt,37,CCSES-CT-Universe
356,WA.FLE.txt,39,CCSES-CT-Universe
357,WA.HDR.txt,11,CCSES-CT-Universe
358,WA240.TEMP.txt,15,CCSES-CT-Universe
359,WD.FLE.txt,40,CCSES-CT-Universe
360,WHO.FLE.txt,5,CCSES-CT-Universe
361,WP.FLE.txt,20,CCSES-CT-Universe
362,WP.HDR.txt,16,CCSES-CT-Universe
363,XR.OLD.CASE.txt,5,CCSES-CT-Universe
364,XR.OLD.FNBR.txt,3,CCSES-CT-Universe
365,XR.OLD.NAME.txt,4,CCSES-CT-Universe
366,XR.OLD.SSN.txt,7,CCSES-CT-Universe
367,CSENET.COMMON.icd,13,CCSES-CT-Universe
368,CSENET.LAYOUTS.V3.icd,351,CCSES-CT-Universe
369,I00010.icd,84,CCSES-CT-Universe
